,AAPL,GOOG,MSFT
2025-01-29 14:30:00+00:00,235.0,,443.82391357421875
2025-01-29 14:31:00+00:00,235.15499877929688,,444.67999267578125
2025-01-29 14:32:00+00:00,235.04200744628906,,443.7550048828125
2025-01-29 14:33:00+00:00,235.375,,442.95361328125
2025-01-29 14:34:00+00:00,235.0,,442.82000732421875
2025-01-29 14:35:00+00:00,235.50999450683594,,443.3699951171875
2025-01-29 14:36:00+00:00,235.07229614257812,,443.6199951171875
2025-01-29 14:37:00+00:00,235.39999389648438,,443.0
2025-01-29 14:38:00+00:00,235.00999450683594,,443.260009765625
2025-01-29 14:39:00+00:00,235.30999755859375,,443.04998779296875
2025-01-29 14:40:00+00:00,235.68850708007812,,443.0
2025-01-29 14:41:00+00:00,235.72000122070312,,442.55999755859375
2025-01-29 14:42:00+00:00,235.7039031982422,,442.5555114746094
2025-01-29 14:43:00+00:00,235.85000610351562,,442.239990234375
2025-01-29 14:44:00+00:00,235.79820251464844,,441.86920166015625
2025-01-29 14:45:00+00:00,236.0998992919922,,441.8599853515625
2025-01-29 14:46:00+00:00,235.81649780273438,,441.4100036621094
2025-01-29 14:47:00+00:00,235.52999877929688,,441.489990234375
2025-01-29 14:48:00+00:00,235.0800018310547,,441.0400085449219
2025-01-29 14:49:00+00:00,235.4199981689453,,441.04998779296875
2025-01-29 14:50:00+00:00,235.18499755859375,,441.18499755859375
2025-01-29 14:51:00+00:00,235.84039306640625,,440.80999755859375
2025-01-29 14:52:00+00:00,235.80999755859375,,441.30999755859375
2025-01-29 14:53:00+00:00,235.97999572753906,,441.5400085449219
2025-01-29 14:54:00+00:00,235.6999969482422,,441.3800048828125
2025-01-29 14:55:00+00:00,235.50999450683594,,440.94000244140625
2025-01-29 14:56:00+00:00,235.77999877929688,,441.614990234375
2025-01-29 14:57:00+00:00,235.7949981689453,,441.0400085449219
2025-01-29 14:58:00+00:00,235.75999450683594,,440.9200134277344
2025-01-29 14:59:00+00:00,235.77000427246094,,441.3800048828125
2025-01-29 15:00:00+00:00,235.7550048828125,,441.5299987792969
2025-01-29 15:01:00+00:00,235.99949645996094,,441.57049560546875
2025-01-29 15:02:00+00:00,235.9499969482422,,442.07000732421875
2025-01-29 15:03:00+00:00,235.9149932861328,,441.55999755859375
2025-01-29 15:04:00+00:00,235.84739685058594,,441.7049865722656
2025-01-29 15:05:00+00:00,236.1699981689453,,441.64111328125
2025-01-29 15:06:00+00:00,236.43499755859375,,441.489990234375
2025-01-29 15:07:00+00:00,236.44000244140625,,441.80999755859375
2025-01-29 15:08:00+00:00,236.51499938964844,,441.94000244140625
2025-01-29 15:09:00+00:00,236.44000244140625,,441.82501220703125
2025-01-29 15:10:00+00:00,236.48500061035156,,441.81500244140625
