,AAPL,GOOG,MSFT
2025-10-01 13:30:00+00:00,255.2100067138672,239.4600067138672,
2025-10-01 13:31:00+00:00,256.05999755859375,240.26499938964844,
2025-10-01 13:32:00+00:00,255.94000244140625,241.07000732421875,
2025-10-01 13:33:00+00:00,256.2950134277344,241.10899353027344,
2025-10-01 13:34:00+00:00,256.5174865722656,241.52589416503906,
2025-10-01 13:35:00+00:00,257.4231872558594,241.35499572753906,
2025-10-01 13:36:00+00:00,258.42498779296875,241.17999267578125,
2025-10-01 13:37:00+00:00,258.5299987792969,241.02000427246094,
2025-10-01 13:38:00+00:00,258.43499755859375,240.86700439453125,
2025-10-01 13:39:00+00:00,258.04998779296875,240.89999389648438,
2025-10-01 13:40:00+00:00,258.0899963378906,240.94500732421875,
2025-10-01 13:41:00+00:00,257.79998779296875,240.97999572753906,
2025-10-01 13:42:00+00:00,258.125,241.05499267578125,
2025-10-01 13:43:00+00:00,257.573486328125,241.14999389648438,
2025-10-01 13:44:00+00:00,257.6700134277344,241.5449981689453,
2025-10-01 13:45:00+00:00,257.04168701171875,241.80999755859375,
2025-10-01 13:46:00+00:00,256.67999267578125,241.97889709472656,
2025-10-01 13:47:00+00:00,256.33990478515625,241.9499969482422,
2025-10-01 13:48:00+00:00,255.85000610351562,241.80999755859375,
2025-10-01 13:49:00+00:00,255.4499969482422,241.3800048828125,
2025-10-01 13:50:00+00:00,255.6750030517578,241.47000122070312,
2025-10-01 13:51:00+00:00,255.83999633789062,241.13499450683594,
2025-10-01 13:52:00+00:00,255.82000732421875,241.66000366210938,
2025-10-01 13:53:00+00:00,256.1499938964844,241.6199951171875,
2025-10-01 13:54:00+00:00,256.25,241.84060668945312,
2025-10-01 13:55:00+00:00,255.97000122070312,241.3000030517578,
2025-10-01 13:56:00+00:00,256.4100036621094,241.5800018310547,
2025-10-01 13:57:00+00:00,256.3299865722656,241.60000610351562,
2025-10-01 13:58:00+00:00,256.3500061035156,241.22000122070312,
2025-10-01 13:59:00+00:00,256.5050048828125,241.0050048828125,
2025-10-01 14:00:00+00:00,256.6300048828125,241.2241973876953,
2025-10-01 14:01:00+00:00,256.6199951171875,241.30499267578125,
2025-10-01 14:02:00+00:00,256.3500061035156,241.3300018310547,
2025-10-01 14:03:00+00:00,256.239990234375,241.42999267578125,
2025-10-01 14:04:00+00:00,256.42999267578125,241.3800048828125,
2025-10-01 14:05:00+00:00,256.3197937011719,241.3000030517578,
2025-10-01 14:06:00+00:00,256.114990234375,241.19000244140625,
2025-10-01 14:07:00+00:00,256.0350036621094,241.10000610351562,
2025-10-01 14:08:00+00:00,255.85000610351562,240.97999572753906,
2025-10-01 14:09:00+00:00,255.85009765625,240.94500732421875,
2025-10-01 14:10:00+00:00,256.0,241.17999267578125,
2025-10-01 14:11:00+00:00,255.7949981689453,241.27999877929688,
2025-10-01 14:12:00+00:00,255.52999877929688,241.44000244140625,
2025-10-01 14:13:00+00:00,255.65499877929688,241.3000030517578,
2025-10-01 14:14:00+00:00,255.97999572753906,241.22999572753906,
2025-10-01 14:15:00+00:00,256.0544128417969,240.63999938964844,
2025-10-01 14:16:00+00:00,256.3699951171875,240.64999389648438,
2025-10-01 14:17:00+00:00,256.3399963378906,240.77609252929688,
