,AAPL,GOOG,MSFT
2025-01-21 14:30:00+00:00,223.7050018310547,201.7899932861328,
2025-01-21 14:31:00+00:00,223.5601043701172,202.72000122070312,
2025-01-21 14:32:00+00:00,223.0137939453125,202.8249969482422,
2025-01-21 14:33:00+00:00,222.99000549316406,203.71969604492188,
2025-01-21 14:34:00+00:00,222.30999755859375,203.55999755859375,
2025-01-21 14:35:00+00:00,221.97999572753906,202.889892578125,
2025-01-21 14:36:00+00:00,222.10000610351562,201.3800048828125,
2025-01-21 14:37:00+00:00,222.10000610351562,200.99000549316406,
2025-01-21 14:38:00+00:00,222.59010314941406,201.07000732421875,
2025-01-21 14:39:00+00:00,222.42999267578125,201.13499450683594,
2025-01-21 14:40:00+00:00,222.05880737304688,200.2100067138672,
2025-01-21 14:41:00+00:00,221.74200439453125,200.19000244140625,
2025-01-21 14:42:00+00:00,221.9510040283203,199.80499267578125,
2025-01-21 14:43:00+00:00,221.44000244140625,200.1999969482422,
2025-01-21 14:44:00+00:00,220.89999389648438,200.05999755859375,
2025-01-21 14:45:00+00:00,221.11160278320312,200.36000061035156,
2025-01-21 14:46:00+00:00,221.0800018310547,200.2489013671875,
2025-01-21 14:47:00+00:00,221.67999267578125,200.5847930908203,
2025-01-21 14:48:00+00:00,222.10000610351562,200.58999633789062,
2025-01-21 14:49:00+00:00,222.36500549316406,200.40069580078125,
2025-01-21 14:50:00+00:00,221.89019775390625,201.0072021484375,
2025-01-21 14:51:00+00:00,221.74000549316406,201.35000610351562,
2025-01-21 14:52:00+00:00,221.82000732421875,201.24000549316406,
2025-01-21 14:53:00+00:00,221.82000732421875,200.50999450683594,
2025-01-21 14:54:00+00:00,221.28500366210938,200.3300018310547,
2025-01-21 14:55:00+00:00,221.5050048828125,200.8300018310547,
2025-01-21 14:56:00+00:00,221.4199981689453,200.89999389648438,
2025-01-21 14:57:00+00:00,221.53750610351562,200.69500732421875,
2025-01-21 14:58:00+00:00,221.72000122070312,200.74000549316406,
2025-01-21 14:59:00+00:00,221.86000061035156,200.99000549316406,
2025-01-21 15:00:00+00:00,221.94000244140625,201.00999450683594,
2025-01-21 15:01:00+00:00,221.84500122070312,201.19000244140625,
2025-01-21 15:02:00+00:00,221.66949462890625,200.8800048828125,
2025-01-21 15:03:00+00:00,221.8699951171875,201.0800018310547,
2025-01-21 15:04:00+00:00,221.6999969482422,201.08999633789062,
2025-01-21 15:05:00+00:00,222.00999450683594,201.18499755859375,
2025-01-21 15:06:00+00:00,222.17999267578125,201.05299377441406,
2025-01-21 15:07:00+00:00,222.07000732421875,201.02999877929688,
2025-01-21 15:08:00+00:00,222.19000244140625,201.19000244140625,
2025-01-21 15:09:00+00:00,221.8800048828125,201.3625946044922,
2025-01-21 15:10:00+00:00,221.77000427246094,201.13009643554688,
2025-01-21 15:11:00+00:00,221.27000427246094,200.68499755859375,
2025-01-21 15:12:00+00:00,221.27999877929688,200.42990112304688,
2025-01-21 15:13:00+00:00,221.2100067138672,200.2100067138672,
2025-01-21 15:14:00+00:00,221.35000610351562,200.0399932861328,
2025-01-21 15:15:00+00:00,221.3350067138672,200.0399932861328,
2025-01-21 15:16:00+00:00,221.5399932861328,200.55999755859375,
2025-01-21 15:17:00+00:00,221.8800048828125,200.41000366210938,
2025-01-21 15:18:00+00:00,221.8800048828125,200.8300018310547,
2025-01-21 15:19:00+00:00,221.87989807128906,201.0399932861328,
2025-01-21 15:20:00+00:00,221.875,201.27999877929688,
2025-01-21 15:21:00+00:00,221.67999267578125,201.3800048828125,
2025-01-21 15:22:00+00:00,221.75999450683594,201.2899932861328,
2025-01-21 15:23:00+00:00,221.875,201.23500061035156,
2025-01-21 15:24:00+00:00,221.81500244140625,201.38999938964844,
2025-01-21 15:25:00+00:00,221.95120239257812,201.4499969482422,
2025-01-21 15:26:00+00:00,221.78500366210938,201.27000427246094,
2025-01-21 15:27:00+00:00,221.5749969482422,201.2949981689453,
2025-01-21 15:28:00+00:00,221.52999877929688,201.55999755859375,
2025-01-21 15:29:00+00:00,221.77029418945312,201.72000122070312,
2025-01-21 15:30:00+00:00,222.0,201.6699981689453,
2025-01-21 15:31:00+00:00,221.92080688476562,201.39999389648438,
2025-01-21 15:32:00+00:00,221.5,201.41000366210938,
2025-01-21 15:33:00+00:00,221.60499572753906,201.7899932861328,
2025-01-21 15:34:00+00:00,221.5050048828125,201.4199981689453,
2025-01-21 15:35:00+00:00,221.5,201.4499969482422,
2025-01-21 15:36:00+00:00,221.25999450683594,201.61000061035156,
2025-01-21 15:37:00+00:00,221.18600463867188,201.5,
2025-01-21 15:38:00+00:00,221.0,201.34500122070312,
2025-01-21 15:39:00+00:00,221.0050048828125,201.33999633789062,
2025-01-21 15:40:00+00:00,221.02999877929688,201.4199981689453,
2025-01-21 15:41:00+00:00,221.08999633789062,201.5800018310547,
2025-01-21 15:42:00+00:00,220.77000427246094,201.5,
2025-01-21 15:43:00+00:00,220.75,201.42999267578125,
2025-01-21 15:44:00+00:00,220.97000122070312,201.39999389648438,
2025-01-21 15:45:00+00:00,221.06109619140625,201.14999389648438,
2025-01-21 15:46:00+00:00,220.85000610351562,200.89999389648438,
2025-01-21 15:47:00+00:00,220.96600341796875,200.99000549316406,
2025-01-21 15:48:00+00:00,220.96299743652344,201.17630004882812,
2025-01-21 15:49:00+00:00,220.83999633789062,200.86000061035156,
2025-01-21 15:50:00+00:00,220.96499633789062,200.82989501953125,
2025-01-21 15:51:00+00:00,220.78500366210938,200.72000122070312,
