Datetime,AAPL,GOOG,MSFT
2026-09-08 09:30:00-04:00,319.4700012207031,332.5097961425781,
2026-09-08 09:31:00-04:00,319.82000732421875,331.5799865722656,
2026-09-08 09:32:00-04:00,318.4551086425781,332.0,
2026-09-08 09:33:00-04:00,317.44500732421875,332.0199890136719,
2026-09-08 09:34:00-04:00,317.2698974609375,332.9200134277344,
2026-09-08 09:35:00-04:00,316.7950134277344,332.6199951171875,
2026-09-08 09:36:00-04:00,315.8399963378906,331.9010925292969,
2026-09-08 09:37:00-04:00,315.80499267578125,332.73040771484375,
2026-09-08 09:38:00-04:00,316.7550048828125,333.11590576171875,
2026-09-08 09:39:00-04:00,317.3500061035156,332.45001220703125,
2026-09-08 09:40:00-04:00,317.7099914550781,333.07000732421875,
2026-09-08 09:41:00-04:00,317.42999267578125,332.8999938964844,
2026-09-08 09:42:00-04:00,317.5950012207031,332.3450012207031,
2026-09-08 09:43:00-04:00,317.85260009765625,332.2799987792969,
2026-09-08 09:44:00-04:00,317.518310546875,332.3399963378906,
2026-09-08 09:45:00-04:00,316.94000244140625,331.5249938964844,
2026-09-08 09:46:00-04:00,317.0400085449219,331.3945007324219,
2026-09-08 09:47:00-04:00,316.3599853515625,330.9849853515625,
2026-09-08 09:48:00-04:00,316.6300048828125,331.44500732421875,
2026-09-08 09:49:00-04:00,316.2200012207031,331.1400146484375,
2026-09-08 09:50:00-04:00,316.0299987792969,331.364990234375,
2026-09-08 09:51:00-04:00,316.07000732421875,331.32501220703125,
2026-09-08 09:52:00-04:00,316.1600036621094,330.989990234375,
2026-09-08 09:53:00-04:00,316.5793151855469,330.8900146484375,
2026-09-08 09:54:00-04:00,316.4599914550781,331.1499938964844,
2026-09-08 09:55:00-04:00,317.20111083984375,331.42999267578125,
2026-09-08 09:56:00-04:00,317.19500732421875,331.33209228515625,
2026-09-08 09:57:00-04:00,317.5799865722656,331.6000061035156,
2026-09-08 09:58:00-04:00,317.25,331.3212890625,
2026-09-08 09:59:00-04:00,316.8999938964844,331.0799865722656,
2026-09-08 10:00:00-04:00,317.2300109863281,330.7900085449219,
2026-09-08 10:01:00-04:00,316.7290954589844,330.6199951171875,
2026-09-08 10:02:00-04:00,316.6199951171875,330.45001220703125,
2026-09-08 10:03:00-04:00,316.5199890136719,330.55999755859375,
